SeedA	SeedB	IDTeamA	IDTeamB
W01	W16	1345	1192
W02	W15	1266	1436
W03	W14	1243	1286
W04	W13	1397	1418
W05	W12	1181	1331
W06	W11	1246	1344
W07	W10	1277	1425
W08	W09	1272	1194
X01	X16	1104	1394
X02	X15	1112	1343
X03	X14	1124	1364
X04	X13	1438	1202
X05	X12	1361	1158
X06	X11	1166	1301
X07	X10	1281	1429
X08	X09	1268	1452
Y01	Y16	1222	1297
Y02	Y15	1400	1159
Y03	Y14	1462	1244
Y04	Y13	1231	1245
Y05	Y12	1274	1179
Y06	Y11	1235	1338
Y07	Y10	1401	1336
Y08	Y09	1234	1120
Z01	Z16	1242	1224
Z02	Z15	1417	1421
Z03	Z14	1211	1213
Z04	Z13	1163	1233
Z05	Z12	1388	1433
Z06	Z11	1395	1113
Z07	Z10	1321	1129
Z08	Z09	1116	1228